"data_type","alphabet_size","tier_size","language_class","factor_width","threshold","index","split","accuracy","precision","recall","f1","brier_score","model","train_size"
"OS",4,3,"TcoSL",6,1,9,"LA",0.5,0.5,1,0.666666666666667,0.361606010558621,"gru","Small"
"OS",4,3,"TcoSL",6,1,9,"LR",0.5,0.5,1,0.666666666666667,0.366087850112132,"gru","Small"
"OS",4,3,"TcoSL",6,1,9,"SA",0.5,0.5,1,0.666666666666667,0.292076434518074,"gru","Small"
"OS",4,3,"TcoSL",6,1,9,"SR",0.5,0.5,1,0.666666666666667,0.266282199904295,"gru","Small"
"OS",4,3,"TLT",2,1,0,"LA",0.89686,0.958098624065011,0.83002,0.889472330575678,0.101717945832595,"gru","Small"
"OS",4,3,"TLT",2,1,0,"LR",0.95185,0.974263702584126,0.92822,0.950684678963917,0.0472356071442295,"gru","Small"
"OS",4,3,"TLT",2,1,0,"SA",0.97629,0.980198818381626,0.97222,0.976193105941181,0.0229279631132978,"gru","Small"
"OS",4,3,"TLT",2,1,0,"SR",0.98835,0.988809480912057,0.98788,0.988344521925305,0.0112484287012177,"gru","Small"
"OS",4,3,"TLT",2,1,1,"LA",0.89081,0.999846519837311,0.78174,0.877442672263814,0.108930765447609,"gru","Small"
"OS",4,3,"TLT",2,1,1,"LR",0.99663,0.999899341694683,0.99336,0.996618943946706,0.00333529455487747,"gru","Small"
"OS",4,3,"TLT",2,1,1,"SA",0.97432,0.999810326659642,0.94882,0.973648024628014,0.0255033592745592,"gru","Small"
"OS",4,3,"TLT",2,1,1,"SR",0.99795,0.999899608473045,0.996,0.997945994689645,0.00204639701584916,"gru","Small"
"OS",4,3,"TLT",2,1,2,"LA",0.59375,0.581910636587625,0.66602,0.62113087188861,0.372353667071509,"gru","Small"
"OS",4,3,"TLT",2,1,2,"LR",0.81336,0.897826528539508,0.7072,0.791193054685402,0.165434545491686,"gru","Small"
"OS",4,3,"TLT",2,1,2,"SA",0.63274,0.621330115900698,0.67976,0.649233061450593,0.332618103291975,"gru","Small"
"OS",4,3,"TLT",2,1,2,"SR",0.81907,0.876235172039714,0.7431,0.804194669004253,0.159390437943989,"gru","Small"
"OS",4,3,"TLT",2,1,3,"LA",0.77692,0.999891688930609,0.5539,0.712888362634817,0.222429246889914,"gru","Small"
"OS",4,3,"TLT",2,1,3,"LR",0.98518,0.999917569962494,0.97044,0.984958285122709,0.0147209714916276,"gru","Small"
"OS",4,3,"TLT",2,1,3,"SA",0.89631,0.999596601366513,0.79294,0.884355865853251,0.103091807370375,"gru","Small"
"OS",4,3,"TLT",2,1,3,"SR",0.98475,0.999835020931719,0.96966,0.984516351747875,0.0151270519503496,"gru","Small"
"OS",4,3,"TLT",2,1,4,"LA",0.99625,0.993300065607666,0.99924,0.996261179074567,0.00369381540493133,"gru","Small"
"OS",4,3,"TLT",2,1,4,"LR",0.99841,0.997206759641667,0.99962,0.998411921574894,0.00153819817994184,"gru","Small"
"OS",4,3,"TLT",2,1,4,"SA",0.99116,0.98340616511161,0.99918,0.991230332731493,0.00878981576876993,"gru","Small"
"OS",4,3,"TLT",2,1,4,"SR",0.99525,0.99107585523054,0.9995,0.995270102066219,0.00470222386258428,"gru","Small"
"OS",4,3,"TLT",2,1,5,"LA",0.72453,0.647188389076082,0.98726,0.781845683558639,0.230443463373423,"gru","Small"
"OS",4,3,"TLT",2,1,5,"LR",0.80361,0.721933889855412,0.98762,0.834131468484219,0.151517698903547,"gru","Small"
"OS",4,3,"TLT",2,1,5,"SA",0.72047,0.641412132951907,1,0.781536970606394,0.259139393555629,"gru","Small"
"OS",4,3,"TLT",2,1,5,"SR",0.86608,0.78874305906108,1,0.881896430083251,0.116090006346354,"gru","Small"
"OS",4,3,"TLT",2,1,6,"LA",0.98904,0.978550180053233,1,0.989158819340033,0.0107960388929139,"gru","Small"
"OS",4,3,"TLT",2,1,6,"LR",0.99909,0.998183306382384,1,0.999090827347114,0.00140364976814259,"gru","Small"
"OS",4,3,"TLT",2,1,6,"SA",0.94099,0.894438382139854,1,0.944278146570854,0.0557014576255243,"gru","Small"
"OS",4,3,"TLT",2,1,6,"SR",0.99203,0.984310097052976,1,0.992093018641428,0.00800163133539739,"gru","Small"
"OS",4,3,"TLT",2,1,7,"LA",0.5,0.5,1,0.666666666666667,0.250602586460458,"gru","Small"
"OS",4,3,"TLT",2,1,7,"LR",0.5,0.5,1,0.666666666666667,0.250602586457116,"gru","Small"
"OS",4,3,"TLT",2,1,7,"SA",0.5,0.5,1,0.666666666666667,0.250602586477125,"gru","Small"
"OS",4,3,"TLT",2,1,7,"SR",0.5,0.5,1,0.666666666666667,0.250602586466437,"gru","Small"
"OS",4,3,"TLT",2,1,8,"LA",0.99124,0.982781665225254,1,0.991316071216147,0.00830738597003711,"gru","Small"
"OS",4,3,"TLT",2,1,8,"LR",0.99946,0.998921165141647,1,0.999460291442621,0.000543170448588488,"gru","Small"
"OS",4,3,"TLT",2,1,8,"SA",0.95018,0.909388527154341,1,0.952544245680212,0.0445180297160499,"gru","Small"
"OS",4,3,"TLT",2,1,8,"SR",0.9938,0.987751876728566,1,0.993838203140529,0.00565893706319315,"gru","Small"
"OS",4,3,"TLT",2,1,9,"LA",0.57991,0.543425099718506,1,0.704180720940222,0.270634336324957,"gru","Small"
"OS",4,3,"TLT",2,1,9,"LR",0.84144,0.759232264334305,1,0.863140450214059,0.120385468812955,"gru","Small"
"OS",4,3,"TLT",2,1,9,"SA",0.60882,0.561053883614982,1,0.71881424402306,0.254024267786413,"gru","Small"
"OS",4,3,"TLT",2,1,9,"SR",0.85433,0.77438939396286,1,0.872851693768712,0.112979691216249,"gru","Small"
"OS",4,3,"TLT",4,1,0,"LA",0.86508,0.955507311473774,0.76582,0.85021204787175,0.134462664004225,"gru","Small"
"OS",4,3,"TLT",4,1,0,"LR",0.94949,0.975037517702014,0.9226,0.948094254503602,0.0502498495612659,"gru","Small"
"OS",4,3,"TLT",4,1,0,"SA",0.91748,0.985532192035728,0.8474,0.911261183757743,0.0821236221392794,"gru","Small"
"OS",4,3,"TLT",4,1,0,"SR",0.97974,0.992081401550897,0.9672,0.979482713223827,0.0200883593213115,"gru","Small"
"OS",4,3,"TLT",4,1,1,"LA",0.69387,0.930458723744394,0.41906,0.577862353314304,0.293804870396854,"gru","Small"
"OS",4,3,"TLT",4,1,1,"LR",0.87669,0.971274865507319,0.77634,0.862935586061246,0.116208694159868,"gru","Small"
"OS",4,3,"TLT",4,1,1,"SA",0.74351,0.978164395397243,0.49814,0.660111577859348,0.246257710385853,"gru","Small"
"OS",4,3,"TLT",4,1,1,"SR",0.92972,0.991288242557278,0.86706,0.925021870399215,0.0665896777834275,"gru","Small"
"OS",4,3,"TLT",4,1,2,"LA",0.5,0.5,1,0.666666666666667,0.255083391805877,"gru","Small"
"OS",4,3,"TLT",4,1,2,"LR",0.5,0.5,1,0.666666666666667,0.255083391266108,"gru","Small"
"OS",4,3,"TLT",4,1,2,"SA",0.5,0.5,1,0.666666666666667,0.25508338913998,"gru","Small"
"OS",4,3,"TLT",4,1,2,"SR",0.5,0.5,1,0.666666666666667,0.255083388302798,"gru","Small"
"OS",4,3,"TLT",4,1,3,"LA",0.70462,0.693358784396734,0.73374,0.712978078358209,0.277066429485782,"gru","Small"
"OS",4,3,"TLT",4,1,3,"LR",0.786,0.750490470852018,0.85688,0.800164350814284,0.199691989394104,"gru","Small"
"OS",4,3,"TLT",4,1,3,"SA",0.83787,0.8891704485245,0.77196,0.826430001391729,0.148332537035221,"gru","Small"
"OS",4,3,"TLT",4,1,3,"SR",0.92329,0.929221845910483,0.91638,0.922756245657493,0.0685690111548917,"gru","Small"
"OS",4,3,"TLT",4,1,4,"LA",0.72359,0.649404626672191,0.97186,0.778565534700025,0.265443350132398,"gru","Small"
"OS",4,3,"TLT",4,1,4,"LR",0.8279,0.751511060657196,0.97976,0.850589481360582,0.16237435276025,"gru","Small"
"OS",4,3,"TLT",4,1,4,"SA",0.80274,0.722445920526687,0.98322,0.832898481973435,0.186286463597228,"gru","Small"
"OS",4,3,"TLT",4,1,4,"SR",0.90915,0.85358729280813,0.98772,0.9157681003551,0.0834228266543797,"gru","Small"
"OS",4,3,"TLT",4,1,5,"LA",0.81932,0.73455955808897,1,0.846969542975235,0.179916357410856,"gru","Small"
"OS",4,3,"TLT",4,1,5,"LR",0.99271,0.98562952157543,1,0.992762759483366,0.00722145049126833,"gru","Small"
"OS",4,3,"TLT",4,1,5,"SA",0.8367,0.753806723955978,1,0.859623484913608,0.16267528141638,"gru","Small"
"OS",4,3,"TLT",4,1,5,"SR",0.99323,0.986640882451605,1,0.993275524697796,0.00673287584136383,"gru","Small"
"OS",4,3,"TLT",4,1,6,"LA",0.8052,0.719631548647093,1,0.836960160696351,0.158278407802446,"gru","Small"
"OS",4,3,"TLT",4,1,6,"LR",0.97658,0.955255817507929,1,0.977115944577984,0.0264281791076144,"gru","Small"
"OS",4,3,"TLT",4,1,6,"SA",0.81498,0.729905696184053,1,0.843867614048708,0.141154538596583,"gru","Small"
"OS",4,3,"TLT",4,1,6,"SR",0.98548,0.971779522661898,1,0.985687812955881,0.0158588879307946,"gru","Small"
"OS",4,3,"TLT",4,1,7,"LA",0.84384,0.762009266032675,1,0.864932189316358,0.156135644731712,"gru","Small"
"OS",4,3,"TLT",4,1,7,"LR",0.99511,0.990314722018658,1,0.995133795738837,0.0048819700160583,"gru","Small"
"OS",4,3,"TLT",4,1,7,"SA",0.91075,0.848536274925753,1,0.918062887307781,0.089203554427624,"gru","Small"
"OS",4,3,"TLT",4,1,7,"SR",0.99744,0.994906080865966,1,0.997446536865624,0.00255890514159241,"gru","Small"
"OS",4,3,"TLT",4,1,8,"LA",0.79722,0.711460200916361,1,0.831407239894245,0.202585491992412,"gru","Small"
"OS",4,3,"TLT",4,1,8,"LR",0.99056,0.981469849246231,1,0.990648280234586,0.00942014317816921,"gru","Small"
"OS",4,3,"TLT",4,1,8,"SA",0.81725,0.732332478945441,1,0.845487212005918,0.182577386430051,"gru","Small"
"OS",4,3,"TLT",4,1,8,"SR",0.9924,0.985027580772262,1,0.992457324335054,0.00759045806673971,"gru","Small"
"OS",4,3,"TLT",4,1,9,"LA",0.68035,0.613930687690306,0.97184,0.752495179985908,0.311019579984828,"gru","Small"
"OS",4,3,"TLT",4,1,9,"LR",0.97201,0.964384801558411,0.98022,0.97223792662243,0.0251402120529961,"gru","Small"
"OS",4,3,"TLT",4,1,9,"SA",0.69547,0.623099691416336,0.98942,0.764650875227018,0.291424963385105,"gru","Small"
"OS",4,3,"TLT",4,1,9,"SR",0.97591,0.959168708874438,0.99414,0.976341298134999,0.0218063664492514,"gru","Small"
"OS",4,3,"TLT",6,1,0,"LA",0.65001,0.997413621592944,0.3008,0.462207470919959,0.347751111804913,"gru","Small"
"OS",4,3,"TLT",6,1,0,"LR",0.96697,0.999401107950292,0.9345,0.965861523673684,0.0326546063204549,"gru","Small"
"OS",4,3,"TLT",6,1,0,"SA",0.66001,0.999562909772089,0.32016,0.48498068620768,0.338038786836632,"gru","Small"
"OS",4,3,"TLT",6,1,0,"SR",0.98171,0.999771751084182,0.96364,0.981373417657063,0.0181108549368449,"gru","Small"
